,Subject,Gender,Age,Handedness,First_Lanugage,Shape,Matching,Identity,English_Identity,Standardized_Idnetity,Response,ShapeLoc,FaceIdentity,Stimulus,Strength,textColour,Stimuli_Type,RT_ms,RT_sec,ACC,Country
1,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,2,SelfWeak,Weak,white,Self = Positive,767,0.767,1,United Kingdom
2,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,2,SelfWeak,Weak,white,Self = Positive,1117,1.117,1,United Kingdom
3,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,2,SelfWeak,Weak,white,Self = Positive,1050,1.05,1,United Kingdom
4,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,2,SelfWeak,Weak,white,Self = Positive,1167,1.167,1,United Kingdom
5,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,1,SelfStrong,Strong,white,Self = Positive,767,0.767,1,United Kingdom
6,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,1,SelfStrong,Strong,white,Self = Positive,784,0.784,1,United Kingdom
7,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,1,SelfStrong,Strong,white,Self = Positive,1267,1.267,1,United Kingdom
8,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,1,SelfStrong,Strong,white,Self = Positive,900,0.9,1,United Kingdom
9,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,2,SelfWeak,Weak,white,Self = Positive,1167,1.167,1,United Kingdom
10,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,2,SelfWeak,Weak,white,Self = Positive,1067,1.067,1,United Kingdom
11,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,k,Top,2,SelfWeak,Weak,white,Self = Positive,784,0.784,0,United Kingdom
12,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,1,SelfStrong,Strong,white,Self = Positive,800,0.8,1,United Kingdom
13,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,2,SelfWeak,Weak,white,Self = Positive,1034,1.034,1,United Kingdom
14,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,2,SelfWeak,Weak,white,Self = Positive,817,0.817,1,United Kingdom
15,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,2,SelfWeak,Weak,white,Self = Positive,900,0.9,1,United Kingdom
16,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,1,SelfStrong,Strong,white,Self = Positive,762,0.762,1,United Kingdom
17,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,1,SelfStrong,Strong,white,Self = Positive,734,0.734,1,United Kingdom
18,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,1,SelfStrong,Strong,white,Self = Positive,750,0.75,1,United Kingdom
19,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,2,SelfWeak,Weak,white,Self = Positive,950,0.95,1,United Kingdom
20,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,1,SelfStrong,Strong,white,Self = Positive,700,0.7,1,United Kingdom
21,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,2,SelfWeak,Weak,white,Self = Positive,1150,1.15,1,United Kingdom
22,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,1,SelfStrong,Strong,white,Self = Positive,767,0.767,1,United Kingdom
23,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,1,SelfStrong,Strong,white,Self = Positive,900,0.9,1,United Kingdom
24,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,1,SelfStrong,Strong,white,Self = Positive,767,0.767,1,United Kingdom
25,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,1,SelfStrong,Strong,white,Self = Positive,784,0.784,1,United Kingdom
26,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,2,SelfWeak,Weak,white,Self = Positive,1000,1,1,United Kingdom
27,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,2,SelfWeak,Weak,white,Self = Positive,884,0.884,1,United Kingdom
28,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,1,SelfStrong,Strong,white,Self = Positive,934,0.934,1,United Kingdom
29,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,1,SelfStrong,Strong,white,Self = Positive,1017,1.017,1,United Kingdom
30,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,2,SelfWeak,Weak,white,Self = Positive,1217,1.217,1,United Kingdom
31,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,2,SelfWeak,Weak,white,Self = Positive,834,0.834,1,United Kingdom
32,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,2,SelfWeak,Weak,white,Self = Positive,717,0.717,1,United Kingdom
33,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,2,SelfWeak,Weak,white,Self = Positive,584,0.584,1,United Kingdom
34,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,1,SelfStrong,Strong,white,Self = Positive,917,0.917,1,United Kingdom
35,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,2,SelfWeak,Weak,white,Self = Positive,1050,1.05,1,United Kingdom
36,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,1,SelfStrong,Strong,white,Self = Positive,717,0.717,1,United Kingdom
37,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,2,SelfWeak,Weak,white,Self = Positive,867,0.867,1,United Kingdom
38,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,1,SelfStrong,Strong,white,Self = Positive,917,0.917,1,United Kingdom
39,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,1,SelfStrong,Strong,white,Self = Positive,584,0.584,1,United Kingdom
40,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,1,SelfStrong,Strong,white,Self = Positive,534,0.534,1,United Kingdom
41,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,1,SelfStrong,Strong,white,Self = Positive,650,0.65,1,United Kingdom
42,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,1,SelfStrong,Strong,white,Self = Positive,784,0.784,1,United Kingdom
43,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,2,SelfWeak,Weak,white,Self = Positive,1550,1.55,1,United Kingdom
44,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,2,SelfWeak,Weak,white,Self = Positive,817,0.817,1,United Kingdom
45,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,1,SelfStrong,Strong,white,Self = Positive,917,0.917,1,United Kingdom
46,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,2,SelfWeak,Weak,white,Self = Positive,900,0.9,1,United Kingdom
47,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,1,SelfStrong,Strong,white,Self = Positive,1100,1.1,1,United Kingdom
48,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,2,SelfWeak,Weak,white,Self = Positive,784,0.784,1,United Kingdom
49,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,2,SelfWeak,Weak,white,Self = Positive,867,0.867,1,United Kingdom
50,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,2,SelfWeak,Weak,white,Self = Positive,817,0.817,1,United Kingdom
51,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,1,SelfStrong,Strong,white,Self = Positive,734,0.734,1,United Kingdom
52,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,2,SelfWeak,Weak,white,Self = Positive,1250,1.25,1,United Kingdom
53,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,1,SelfStrong,Strong,white,Self = Positive,984,0.984,1,United Kingdom
54,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,2,SelfWeak,Weak,white,Self = Positive,1484,1.484,1,United Kingdom
55,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,2,SelfWeak,Weak,white,Self = Positive,1284,1.284,1,United Kingdom
56,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,1,SelfStrong,Strong,white,Self = Positive,817,0.817,1,United Kingdom
57,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,1,SelfStrong,Strong,white,Self = Positive,734,0.734,1,United Kingdom
58,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,1,SelfStrong,Strong,white,Self = Positive,734,0.734,1,United Kingdom
59,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,1,SelfStrong,Strong,white,Self = Positive,700,0.7,1,United Kingdom
60,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,2,SelfWeak,Weak,white,Self = Positive,717,0.717,1,United Kingdom
61,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,2,SelfWeak,Weak,white,Self = Positive,900,0.9,1,United Kingdom
62,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,1,SelfStrong,Strong,white,Self = Positive,684,0.684,1,United Kingdom
63,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,1,SelfStrong,Strong,white,Self = Positive,950,0.95,1,United Kingdom
64,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,1,SelfStrong,Strong,white,Self = Positive,634,0.634,1,United Kingdom
65,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,1,SelfStrong,Strong,white,Self = Positive,550,0.55,1,United Kingdom
66,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,None,Bottom,2,SelfWeak,Weak,white,Self = Positive,NA,NA,3,United Kingdom
67,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,1,SelfStrong,Strong,white,Self = Positive,800,0.8,1,United Kingdom
68,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,k,Bottom,2,SelfWeak,Weak,white,Self = Positive,1550,1.55,0,United Kingdom
69,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Top,2,SelfWeak,Weak,white,Self = Positive,834,0.834,1,United Kingdom
70,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,k,Top,2,SelfWeak,Weak,white,Self = Positive,1167,1.167,0,United Kingdom
71,1,Male,24,Right,Ukrainian,Self,Matching,Self,Self,Self,l,Bottom,1,SelfStrong,Strong,white,Self = Positive,1184,1.184,1,United Kingdom
