,Subject,Matching,Identity,English_Identity,RT_ms,RT_sec,ACC,blocktype,Country
1,43329048,Matching,Close,friend,910,0.91,1,mixed,United Kingdom
2,43329048,Matching,Close,friend,566,0.566,1,mixed,United Kingdom
3,43329048,Matching,Close,friend,651,0.651,1,mixed,United Kingdom
4,43329048,Matching,Close,friend,799,0.799,1,mixed,United Kingdom
5,43329048,Matching,Close,friend,639,0.639,1,mixed,United Kingdom
6,43329048,Matching,Close,friend,971,0.971,1,mixed,United Kingdom
7,43329048,Matching,Close,friend,939,0.939,1,mixed,United Kingdom
8,43329048,Matching,Close,friend,1199,1.199,0,mixed,United Kingdom
9,43329048,Matching,Close,friend,871,0.871,1,mixed,United Kingdom
10,43329048,Matching,Close,friend,795,0.795,1,mixed,United Kingdom
11,43329048,Matching,Close,friend,656,0.656,1,mixed,United Kingdom
12,43329048,Matching,Close,friend,776,0.776,1,mixed,United Kingdom
13,43329048,Matching,Close,friend,550,0.55,1,mixed,United Kingdom
14,43329048,Matching,Close,friend,402,0.402,1,mixed,United Kingdom
15,43329048,Matching,Close,friend,372,0.372,1,mixed,United Kingdom
16,43329048,Matching,Close,friend,586,0.586,1,mixed,United Kingdom
17,43329048,Matching,Close,friend,479,0.479,1,mixed,United Kingdom
18,43329048,Matching,Close,friend,770,0.77,0,mixed,United Kingdom
19,43329048,Matching,Close,friend,855,0.855,1,mixed,United Kingdom
20,43329048,Matching,Close,friend,556,0.556,1,mixed,United Kingdom
21,43329048,Matching,Close,friend,384,0.384,1,mixed,United Kingdom
22,43329048,Matching,Close,friend,508,0.508,1,mixed,United Kingdom
23,43329048,Matching,Close,friend,431,0.431,1,mixed,United Kingdom
24,43329048,Matching,Close,friend,546,0.546,1,mixed,United Kingdom
25,43329048,Matching,Close,friend,578,0.578,1,mixed,United Kingdom
26,43329048,Matching,Close,friend,408,0.408,1,mixed,United Kingdom
27,43329048,Matching,Close,friend,813,0.813,1,mixed,United Kingdom
28,43329048,Matching,Close,friend,624,0.624,1,mixed,United Kingdom
29,43329048,Matching,Close,friend,780,0.78,1,blocked,United Kingdom
30,43329048,Matching,Close,friend,468,0.468,1,blocked,United Kingdom
31,43329048,Matching,Close,friend,557,0.557,1,blocked,United Kingdom
32,43329048,Matching,Close,friend,471,0.471,1,blocked,United Kingdom
33,43329048,Matching,Close,friend,354,0.354,1,blocked,United Kingdom
34,43329048,Matching,Close,friend,403,0.403,1,blocked,United Kingdom
35,43329048,Matching,Close,friend,449,0.449,1,blocked,United Kingdom
36,43329048,Matching,Close,friend,682,0.682,1,blocked,United Kingdom
37,43329048,Matching,Close,friend,425,0.425,1,blocked,United Kingdom
38,43329048,Matching,Close,friend,367,0.367,1,blocked,United Kingdom
39,43329048,Matching,Close,friend,730,0.73,1,blocked,United Kingdom
40,43329048,Matching,Close,friend,350,0.35,1,blocked,United Kingdom
41,43329048,Matching,Close,friend,330,0.33,1,blocked,United Kingdom
42,43329048,Matching,Close,friend,372,0.372,1,blocked,United Kingdom
43,43329048,Matching,Close,friend,396,0.396,1,blocked,United Kingdom
44,43329048,Matching,Close,friend,334,0.334,1,blocked,United Kingdom
45,43329048,Matching,Close,friend,527,0.527,1,blocked,United Kingdom
46,43329048,Matching,Close,friend,347,0.347,1,blocked,United Kingdom
47,43329048,Matching,Close,friend,325,0.325,1,blocked,United Kingdom
48,43329048,Matching,Close,friend,264,0.264,1,blocked,United Kingdom
49,43329048,Matching,Close,friend,324,0.324,1,blocked,United Kingdom
50,43329048,Matching,Close,friend,359,0.359,0,blocked,United Kingdom
51,43329048,Matching,Close,friend,324,0.324,1,blocked,United Kingdom
52,43329048,Matching,Close,friend,382,0.382,1,blocked,United Kingdom
53,43329048,Matching,Close,friend,434,0.434,1,blocked,United Kingdom
54,43329048,Matching,Close,friend,549,0.549,1,blocked,United Kingdom
55,43329048,Matching,Close,friend,328,0.328,1,blocked,United Kingdom
56,43329048,Matching,Close,friend,571,0.571,1,blocked,United Kingdom
57,43329048,Matching,Close,friend,444,0.444,1,blocked,United Kingdom
58,43329048,Matching,Self,self,816,0.816,1,mixed,United Kingdom
59,43329048,Matching,Self,self,555,0.555,1,mixed,United Kingdom
60,43329048,Matching,Self,self,554,0.554,1,mixed,United Kingdom
61,43329048,Matching,Self,self,534,0.534,1,mixed,United Kingdom
62,43329048,Matching,Self,self,534,0.534,1,mixed,United Kingdom
63,43329048,Matching,Self,self,648,0.648,1,mixed,United Kingdom
64,43329048,Matching,Self,self,616,0.616,1,mixed,United Kingdom
65,43329048,Matching,Self,self,844,0.844,1,mixed,United Kingdom
66,43329048,Matching,Self,self,405,0.405,1,mixed,United Kingdom
67,43329048,Matching,Self,self,533,0.533,1,mixed,United Kingdom
68,43329048,Matching,Self,self,485,0.485,1,blocked,United Kingdom
69,43329048,Matching,Self,self,401,0.401,1,blocked,United Kingdom
70,43329048,Matching,Self,self,615,0.615,1,blocked,United Kingdom
71,43329048,Matching,Self,self,657,0.657,1,blocked,United Kingdom
72,43329048,Matching,Self,self,562,0.562,1,blocked,United Kingdom
73,43329048,Matching,Self,self,435,0.435,1,blocked,United Kingdom
74,43329048,Matching,Self,self,522,0.522,1,blocked,United Kingdom
75,43329048,Matching,Self,self,506,0.506,1,blocked,United Kingdom
76,43329048,Matching,Self,self,487,0.487,1,blocked,United Kingdom
77,43329048,Matching,Self,self,530,0.53,1,blocked,United Kingdom
78,43329048,Matching,Self,self,546,0.546,1,blocked,United Kingdom
79,43329048,Matching,Self,self,474,0.474,1,blocked,United Kingdom
80,43329048,Matching,Self,self,450,0.45,1,blocked,United Kingdom
81,43329048,Matching,Self,self,648,0.648,1,blocked,United Kingdom
82,43329048,Matching,Self,self,509,0.509,1,blocked,United Kingdom
83,43329048,Matching,Self,self,580,0.58,1,blocked,United Kingdom
84,43329048,Matching,Self,self,582,0.582,1,blocked,United Kingdom
85,43329048,Matching,Self,self,397,0.397,1,blocked,United Kingdom
86,43329048,Matching,Self,self,379,0.379,1,blocked,United Kingdom
87,43329048,Matching,Self,self,348,0.348,1,blocked,United Kingdom
88,43329048,Matching,Self,self,256,0.256,1,blocked,United Kingdom
89,43329048,Matching,Self,self,536,0.536,1,blocked,United Kingdom
90,43329048,Matching,Self,self,414,0.414,1,blocked,United Kingdom
91,43329048,Matching,Self,self,359,0.359,1,blocked,United Kingdom
92,43329048,Matching,Self,self,499,0.499,1,blocked,United Kingdom
93,43329048,Matching,Self,self,516,0.516,1,blocked,United Kingdom
94,43329048,Matching,Self,self,414,0.414,1,blocked,United Kingdom
95,43329048,Matching,Self,self,381,0.381,1,blocked,United Kingdom
96,43329048,Matching,Self,self,352,0.352,1,blocked,United Kingdom
97,43329048,Matching,Self,self,359,0.359,1,blocked,United Kingdom
98,43329048,Matching,Self,self,434,0.434,1,mixed,United Kingdom
