,Subject,Age,Gender,Handedness,Shape,Label,Matching,Identity,Response,RT_ms,RT_sec,ACC,Country
1,101,23,Mann,links,circle.png,Ich,Matching,Self,NA,0,0,0,Germany
2,101,23,Mann,links,circle.png,Ich,Matching,Self,1,351,0.351,1,Germany
3,101,23,Mann,links,circle.png,Ich,Matching,Self,1,448,0.448,1,Germany
4,101,23,Mann,links,circle.png,Ich,Matching,Self,1,585,0.585,1,Germany
5,101,23,Mann,links,circle.png,Ich,Matching,Self,1,446,0.446,1,Germany
6,101,23,Mann,links,circle.png,Ich,Matching,Self,1,518,0.518,1,Germany
7,101,23,Mann,links,circle.png,Ich,Matching,Self,1,499,0.499,1,Germany
8,101,23,Mann,links,circle.png,Ich,Matching,Self,1,425,0.425,1,Germany
9,101,23,Mann,links,circle.png,Ich,Matching,Self,1,450,0.45,1,Germany
10,101,23,Mann,links,circle.png,Ich,Matching,Self,1,433,0.433,1,Germany
11,101,23,Mann,links,circle.png,Ich,Matching,Self,1,641,0.641,1,Germany
12,101,23,Mann,links,circle.png,Ich,Matching,Self,1,540,0.54,1,Germany
13,101,23,Mann,links,circle.png,Ich,Matching,Self,1,429,0.429,1,Germany
14,101,23,Mann,links,circle.png,Ich,Matching,Self,1,362,0.362,1,Germany
15,101,23,Mann,links,circle.png,Ich,Matching,Self,1,435,0.435,1,Germany
16,101,23,Mann,links,circle.png,Ich,Matching,Self,1,448,0.448,1,Germany
17,101,23,Mann,links,circle.png,Ich,Matching,Self,1,482,0.482,1,Germany
18,101,23,Mann,links,circle.png,Ich,Matching,Self,1,624,0.624,1,Germany
19,101,23,Mann,links,circle.png,Ich,Matching,Self,1,587,0.587,1,Germany
20,101,23,Mann,links,circle.png,Ich,Matching,Self,1,492,0.492,1,Germany
21,101,23,Mann,links,circle.png,Ich,Matching,Self,1,452,0.452,1,Germany
22,101,23,Mann,links,circle.png,Ich,Matching,Self,1,406,0.406,1,Germany
23,101,23,Mann,links,circle.png,Ich,Matching,Self,1,373,0.373,1,Germany
24,101,23,Mann,links,circle.png,Ich,Matching,Self,1,391,0.391,1,Germany
25,101,23,Mann,links,circle.png,Ich,Matching,Self,1,376,0.376,1,Germany
26,101,23,Mann,links,circle.png,Ich,Matching,Self,5,311,0.311,0,Germany
27,101,23,Mann,links,circle.png,Ich,Matching,Self,1,400,0.4,1,Germany
28,101,23,Mann,links,circle.png,Ich,Matching,Self,1,553,0.553,1,Germany
29,101,23,Mann,links,circle.png,Ich,Matching,Self,1,425,0.425,1,Germany
30,101,23,Mann,links,circle.png,Ich,Matching,Self,1,445,0.445,1,Germany
31,101,23,Mann,links,circle.png,Ich,Matching,Self,1,416,0.416,1,Germany
32,101,23,Mann,links,circle.png,Ich,Matching,Self,1,335,0.335,1,Germany
33,101,23,Mann,links,circle.png,Ich,Matching,Self,1,445,0.445,1,Germany
34,101,23,Mann,links,circle.png,Ich,Matching,Self,1,374,0.374,1,Germany
35,101,23,Mann,links,circle.png,Ich,Matching,Self,1,457,0.457,1,Germany
36,101,23,Mann,links,circle.png,Ich,Matching,Self,1,413,0.413,1,Germany
37,101,23,Mann,links,circle.png,Ich,Matching,Self,1,345,0.345,1,Germany
38,101,23,Mann,links,circle.png,Ich,Matching,Self,1,423,0.423,1,Germany
39,101,23,Mann,links,circle.png,Ich,Matching,Self,1,466,0.466,1,Germany
40,101,23,Mann,links,circle.png,Ich,Matching,Self,1,341,0.341,1,Germany
41,101,23,Mann,links,circle.png,Ich,Matching,Self,1,484,0.484,1,Germany
42,101,23,Mann,links,circle.png,Ich,Matching,Self,1,426,0.426,1,Germany
43,101,23,Mann,links,circle.png,Ich,Matching,Self,1,468,0.468,1,Germany
44,101,23,Mann,links,circle.png,Ich,Matching,Self,1,513,0.513,1,Germany
45,101,23,Mann,links,circle.png,Ich,Matching,Self,1,554,0.554,1,Germany
46,101,23,Mann,links,circle.png,Ich,Matching,Self,1,612,0.612,1,Germany
47,101,23,Mann,links,circle.png,Ich,Matching,Self,1,474,0.474,1,Germany
48,101,23,Mann,links,circle.png,Ich,Matching,Self,1,668,0.668,1,Germany
49,101,23,Mann,links,circle.png,Ich,Matching,Self,1,481,0.481,1,Germany
50,101,23,Mann,links,circle.png,Ich,Matching,Self,1,428,0.428,1,Germany
51,101,23,Mann,links,circle.png,Ich,Matching,Self,1,495,0.495,1,Germany
52,101,23,Mann,links,circle.png,Ich,Matching,Self,1,486,0.486,1,Germany
53,101,23,Mann,links,circle.png,Ich,Matching,Self,1,433,0.433,1,Germany
54,101,23,Mann,links,circle.png,Ich,Matching,Self,1,568,0.568,1,Germany
55,101,23,Mann,links,circle.png,Ich,Matching,Self,1,482,0.482,1,Germany
56,101,23,Mann,links,circle.png,Ich,Matching,Self,1,478,0.478,1,Germany
57,101,23,Mann,links,circle.png,Ich,Matching,Self,5,511,0.511,0,Germany
58,101,23,Mann,links,circle.png,Ich,Matching,Self,1,369,0.369,1,Germany
59,101,23,Mann,links,circle.png,Ich,Matching,Self,1,426,0.426,1,Germany
60,101,23,Mann,links,circle.png,Ich,Matching,Self,1,478,0.478,1,Germany
61,101,23,Mann,links,circle.png,Ich,Matching,Self,1,436,0.436,1,Germany
62,101,23,Mann,links,circle.png,Ich,Matching,Self,1,473,0.473,1,Germany
