,Subject,Age,Gender,Handedness,Shape,Label,Matching,Identity,Morality,Response,Bin,RT_ms,RT_sec,ACC,Country
1,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,1,714,0.714,1,China
2,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,1,808,0.808,1,China
3,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,1,655,0.655,1,China
4,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,2,803,0.803,1,China
5,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,2,618,0.618,1,China
6,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,2,672,0.671,1,China
7,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,3,732,0.732,1,China
8,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,3,711,0.711,1,China
9,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,n,3,685,0.685,0,China
10,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,4,684,0.684,1,China
11,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,4,606,0.606,1,China
12,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,4,646,0.646,1,China
13,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,5,555,0.555,1,China
14,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,5,655,0.655,1,China
15,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,5,777,0.777,1,China
16,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,1,705,0.705,1,China
17,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,1,574,0.574,1,China
18,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,1,644,0.644,1,China
19,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,2,625,0.625,1,China
20,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,2,572,0.572,1,China
21,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,2,647,0.647,1,China
22,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,3,473,0.473,1,China
23,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,3,807,0.807,1,China
24,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,n,3,573,0.573,0,China
25,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,4,535,0.535,1,China
26,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,4,543,0.543,1,China
27,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,4,765,0.765,1,China
28,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,n,5,904,0.904,0,China
29,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,5,751,0.751,1,China
30,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,5,652,0.652,1,China
31,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,1,773,0.773,1,China
32,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,1,541,0.541,1,China
33,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,1,666,0.666,1,China
34,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,2,576,0.576,1,China
35,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,2,646,0.645,1,China
36,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,2,656,0.656,1,China
37,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,3,626,0.626,1,China
38,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,3,582,0.583,1,China
39,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,3,878,0.878,1,China
40,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,n,4,768,0.767,0,China
41,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,4,824,0.824,1,China
42,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,4,752,0.752,1,China
43,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,n,5,643,0.643,0,China
44,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,5,640,0.64,1,China
45,7302,22,female,R,immoralOther,immoralOther,Matching,Other,Bad,m,5,570,0.57,1,China
46,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,1,543,0.543,1,China
47,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,1,566,0.566,1,China
48,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,1,578,0.579,1,China
49,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,2,556,0.556,1,China
50,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,2,538,0.538,1,China
51,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,2,522,0.522,1,China
52,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,3,510,0.51,1,China
53,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,3,771,0.771,1,China
54,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,3,578,0.578,1,China
55,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,4,582,0.582,1,China
56,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,4,413,0.413,1,China
57,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,4,534,0.534,1,China
58,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,n,5,880,0.88,0,China
59,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,5,615,0.615,1,China
60,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,5,657,0.657,1,China
61,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,1,723,0.723,1,China
62,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,1,522,0.522,1,China
63,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,1,623,0.623,1,China
64,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,2,619,0.619,1,China
65,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,2,417,0.417,1,China
66,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,2,433,0.433,1,China
67,7302,22,female,R,moralOther,moralOther,Matching,Other,Good,m,3,552,0.551,1,China
