,Subject,Matching,Label,Response,Identity,RT_ms,RT_sec,ACC,Country
1,1,Matching,Stranger,right,Self,791,0.791,0,United Kingdom
2,1,Matching,Me,right,Self,848,0.848,1,United Kingdom
3,1,Matching,Stranger,right,Self,1252,1.252,0,United Kingdom
4,1,Matching,Me,right,Self,770,0.77,1,United Kingdom
5,1,Matching,Stranger,left,Self,1629,1.629,1,United Kingdom
6,1,Matching,Me,right,Self,596,0.596,1,United Kingdom
7,1,Matching,Me,right,Self,823,0.823,1,United Kingdom
8,1,Matching,Stranger,right,Self,988,0.988,0,United Kingdom
9,1,Matching,Me,right,Self,561,0.561,1,United Kingdom
10,1,Matching,Me,right,Self,849,0.849,1,United Kingdom
11,1,Matching,Me,left,Self,599,0.599,0,United Kingdom
12,1,Matching,Me,right,Self,579,0.579,1,United Kingdom
13,1,Matching,Stranger,left,Self,708,0.708,1,United Kingdom
14,1,Matching,Stranger,right,Self,748,0.748,0,United Kingdom
15,1,Matching,Stranger,left,Self,808,0.808,1,United Kingdom
16,1,Matching,Stranger,left,Self,855,0.855,1,United Kingdom
17,1,Matching,Me,left,Stranger,966,0.966,1,United Kingdom
18,1,Matching,Stranger,left,Stranger,558,0.558,0,United Kingdom
19,1,Matching,Me,left,Stranger,1531,1.531,1,United Kingdom
20,1,Matching,Me,left,Stranger,1774,1.774,1,United Kingdom
21,1,Matching,Stranger,left,Stranger,1292,1.292,0,United Kingdom
22,1,Matching,Me,left,Stranger,1342,1.342,1,United Kingdom
23,1,Matching,Stranger,right,Stranger,923,0.923,1,United Kingdom
24,1,Matching,Stranger,right,Stranger,815,0.815,1,United Kingdom
25,1,Matching,Stranger,left,Stranger,910,0.91,0,United Kingdom
26,1,Matching,Me,right,Stranger,565,0.565,0,United Kingdom
27,1,Matching,Stranger,right,Stranger,824,0.824,1,United Kingdom
28,1,Matching,Stranger,right,Stranger,1099,1.099,1,United Kingdom
29,1,Matching,Me,left,Stranger,907,0.907,1,United Kingdom
30,1,Matching,Stranger,right,Stranger,878,0.878,1,United Kingdom
31,1,Matching,Me,right,Stranger,1334,1.334,0,United Kingdom
32,1,Matching,Me,left,Stranger,1336,1.336,1,United Kingdom
33,1,Nonmatching,Me,right,Self,1143,1.143,1,United Kingdom
34,1,Nonmatching,Me,left,Self,804,0.804,0,United Kingdom
35,1,Nonmatching,Stranger,left,Self,1105,1.105,1,United Kingdom
36,1,Nonmatching,Stranger,left,Self,873,0.873,1,United Kingdom
37,1,Nonmatching,Stranger,left,Self,869,0.869,1,United Kingdom
38,1,Nonmatching,Stranger,left,Self,868,0.868,1,United Kingdom
39,1,Nonmatching,Me,left,Self,620,0.62,0,United Kingdom
40,1,Nonmatching,Stranger,left,Self,987,0.987,1,United Kingdom
41,1,Nonmatching,Me,right,Self,787,0.787,1,United Kingdom
42,1,Nonmatching,Stranger,left,Self,857,0.857,1,United Kingdom
43,1,Nonmatching,Stranger,left,Self,760,0.76,1,United Kingdom
44,1,Nonmatching,Me,right,Self,655,0.655,1,United Kingdom
45,1,Nonmatching,Me,right,Self,1270,1.27,1,United Kingdom
46,1,Nonmatching,Me,right,Self,410,0.41,1,United Kingdom
47,1,Nonmatching,Me,right,Self,704,0.704,1,United Kingdom
48,1,Nonmatching,Stranger,left,Self,910,0.91,1,United Kingdom
49,1,Nonmatching,Me,left,Stranger,588,0.588,1,United Kingdom
50,1,Nonmatching,Me,left,Stranger,984,0.984,1,United Kingdom
51,1,Nonmatching,Stranger,right,Stranger,769,0.769,1,United Kingdom
52,1,Nonmatching,Me,left,Stranger,722,0.722,1,United Kingdom
53,1,Nonmatching,Me,left,Stranger,722,0.722,1,United Kingdom
54,1,Nonmatching,Stranger,right,Stranger,710,0.71,1,United Kingdom
55,1,Nonmatching,Me,left,Stranger,762,0.762,1,United Kingdom
56,1,Nonmatching,Me,left,Stranger,607,0.607,1,United Kingdom
57,1,Nonmatching,Stranger,right,Stranger,1026,1.026,1,United Kingdom
58,1,Nonmatching,Stranger,right,Stranger,842,0.842,1,United Kingdom
59,1,Nonmatching,Me,right,Stranger,533,0.533,0,United Kingdom
60,1,Nonmatching,Stranger,left,Stranger,896,0.896,0,United Kingdom
61,1,Nonmatching,Stranger,left,Stranger,943,0.943,0,United Kingdom
62,1,Nonmatching,Me,left,Stranger,792,0.792,1,United Kingdom
63,1,Nonmatching,Stranger,right,Stranger,512,0.512,1,United Kingdom
64,1,Nonmatching,Stranger,right,Stranger,866,0.866,1,United Kingdom
65,2,Matching,Stranger,right,Self,5410,5.41,0,United Kingdom
66,2,Matching,Stranger,left,Self,1086,1.086,1,United Kingdom
67,2,Matching,Stranger,left,Self,1049,1.049,1,United Kingdom
68,2,Matching,Stranger,left,Self,1066,1.066,1,United Kingdom
69,2,Matching,Me,right,Self,1465,1.465,1,United Kingdom
70,2,Matching,Stranger,left,Self,2142,2.142,1,United Kingdom
71,2,Matching,Me,right,Self,1312,1.312,1,United Kingdom
72,2,Matching,Me,right,Self,2603,2.603,1,United Kingdom
73,2,Matching,Me,left,Self,2354,2.354,0,United Kingdom
74,2,Matching,Stranger,left,Self,2770,2.77,1,United Kingdom
75,2,Matching,Me,right,Self,2040,2.04,1,United Kingdom
76,2,Matching,Stranger,right,Self,1520,1.52,0,United Kingdom
77,2,Matching,Me,right,Self,605,0.605,1,United Kingdom
78,2,Matching,Me,right,Self,1911,1.911,1,United Kingdom
79,2,Matching,Stranger,left,Self,1008,1.008,1,United Kingdom
80,2,Matching,Me,right,Self,641,0.641,1,United Kingdom
