,Subject,Gender,Age,Matching,Origin_Identity,English_Identity,Identity,Mood,Arouse,Valence,Session,RT_ms,RT_sec,ACC,Country
1,17,female,19,Matching,Familiar,Familiar,Close,happy,5,5,S1,599,0.599,1,China
2,17,female,19,Matching,Familiar,Familiar,Close,happy,5,5,S1,623,0.623,1,China
3,17,female,19,Matching,Familiar,Familiar,Close,happy,5,5,S1,509,0.509,1,China
4,17,female,19,Matching,Familiar,Familiar,Close,happy,5,5,S1,376,0.376,1,China
5,17,female,19,Matching,Familiar,Familiar,Close,happy,5,5,S1,549,0.549,1,China
6,17,female,19,Matching,Familiar,Familiar,Close,happy,5,5,S1,352,0.352,1,China
7,17,female,19,Matching,Familiar,Familiar,Close,happy,5,5,S1,370,0.37,0,China
8,17,female,19,Matching,Familiar,Familiar,Close,happy,5,5,S1,450,0.45,1,China
9,17,female,19,Matching,Familiar,Familiar,Close,happy,5,5,S1,442,0.442,1,China
10,17,female,19,Matching,Familiar,Familiar,Close,happy,5,5,S1,437,0.437,1,China
11,17,female,19,Matching,Familiar,Familiar,Close,happy,5,5,S1,621,0.621,1,China
12,17,female,19,Matching,Familiar,Familiar,Close,happy,5,5,S1,532,0.532,1,China
13,17,female,19,Matching,Familiar,Familiar,Close,happy,5,5,S1,400,0.4,1,China
14,17,female,19,Matching,Familiar,Familiar,Close,happy,5,5,S1,487,0.487,1,China
15,17,female,19,Matching,Familiar,Familiar,Close,happy,5,5,S1,482,0.482,1,China
16,17,female,19,Matching,Familiar,Familiar,Close,happy,5,5,S1,433,0.433,0,China
17,17,female,19,Matching,Familiar,Familiar,Close,happy,5,5,S1,412,0.412,1,China
18,17,female,19,Matching,Familiar,Familiar,Close,happy,5,5,S1,416,0.416,1,China
19,17,female,19,Matching,Familiar,Familiar,Close,happy,5,5,S1,431,0.431,1,China
20,17,female,19,Matching,Familiar,Familiar,Close,happy,5,5,S1,812,0.812,1,China
21,17,female,19,Matching,Familiar,Familiar,Close,happy,5,5,S1,514,0.514,1,China
22,17,female,19,Matching,Familiar,Familiar,Close,happy,5,5,S1,335,0.335,0,China
23,17,female,19,Matching,Familiar,Familiar,Close,happy,5,5,S1,461,0.461,1,China
24,17,female,19,Matching,Familiar,Familiar,Close,anxious,7,3,S2,233,0.233,0,China
25,17,female,19,Matching,Familiar,Familiar,Close,anxious,7,3,S2,522,0.522,1,China
26,17,female,19,Matching,Familiar,Familiar,Close,anxious,7,3,S2,527,0.527,1,China
27,17,female,19,Matching,Familiar,Familiar,Close,anxious,7,3,S2,426,0.426,0,China
28,17,female,19,Matching,Familiar,Familiar,Close,anxious,7,3,S2,355,0.355,0,China
29,17,female,19,Matching,Familiar,Familiar,Close,anxious,7,3,S2,548,0.548,1,China
30,17,female,19,Matching,Familiar,Familiar,Close,anxious,7,3,S2,566,0.566,1,China
31,17,female,19,Matching,Familiar,Familiar,Close,anxious,7,3,S2,411,0.411,1,China
32,17,female,19,Matching,Familiar,Familiar,Close,anxious,7,3,S2,464,0.464,1,China
33,17,female,19,Matching,Familiar,Familiar,Close,anxious,7,3,S2,444,0.444,1,China
34,17,female,19,Matching,Familiar,Familiar,Close,anxious,7,3,S2,480,0.48,0,China
35,17,female,19,Matching,Familiar,Familiar,Close,anxious,7,3,S2,409,0.409,1,China
36,17,female,19,Matching,Familiar,Familiar,Close,anxious,7,3,S2,488,0.488,1,China
37,17,female,19,Matching,Familiar,Familiar,Close,anxious,7,3,S2,461,0.461,1,China
38,17,female,19,Matching,Familiar,Familiar,Close,anxious,7,3,S2,461,0.461,1,China
39,17,female,19,Matching,Familiar,Familiar,Close,anxious,7,3,S2,421,0.421,1,China
40,17,female,19,Matching,Familiar,Familiar,Close,anxious,7,3,S2,544,0.544,1,China
41,17,female,19,Matching,Familiar,Familiar,Close,anxious,7,3,S2,440,0.44,1,China
42,17,female,19,Matching,Familiar,Familiar,Close,anxious,7,3,S2,397,0.397,1,China
43,17,female,19,Matching,Familiar,Familiar,Close,anxious,7,3,S2,430,0.43,1,China
44,17,female,19,Matching,Familiar,Familiar,Close,anxious,7,3,S2,503,0.503,1,China
45,17,female,19,Matching,Familiar,Familiar,Close,anxious,7,3,S2,342,0.342,1,China
46,17,female,19,Matching,Familiar,Familiar,Close,anxious,7,3,S2,453,0.453,1,China
47,17,female,19,Matching,Familiar,Familiar,Close,anxious,7,3,S2,430,0.43,1,China
48,17,female,19,Matching,Familiar,Familiar,Close,serenity,4,8,S3,401,0.401,1,China
49,17,female,19,Matching,Familiar,Familiar,Close,serenity,4,8,S3,424,0.424,1,China
50,17,female,19,Matching,Familiar,Familiar,Close,serenity,4,8,S3,577,0.577,1,China
51,17,female,19,Matching,Familiar,Familiar,Close,serenity,4,8,S3,583,0.583,0,China
52,17,female,19,Matching,Familiar,Familiar,Close,serenity,4,8,S3,509,0.509,1,China
53,17,female,19,Matching,Familiar,Familiar,Close,serenity,4,8,S3,592,0.592,1,China
54,17,female,19,Matching,Familiar,Familiar,Close,serenity,4,8,S3,475,0.475,1,China
55,17,female,19,Matching,Familiar,Familiar,Close,serenity,4,8,S3,407,0.407,1,China
56,17,female,19,Matching,Familiar,Familiar,Close,serenity,4,8,S3,684,0.684,1,China
57,17,female,19,Matching,Familiar,Familiar,Close,serenity,4,8,S3,521,0.521,1,China
58,17,female,19,Matching,Familiar,Familiar,Close,serenity,4,8,S3,477,0.477,1,China
59,17,female,19,Matching,Familiar,Familiar,Close,serenity,4,8,S3,343,0.343,1,China
60,17,female,19,Matching,Familiar,Familiar,Close,serenity,4,8,S3,589,0.589,1,China
61,17,female,19,Matching,Familiar,Familiar,Close,serenity,4,8,S3,357,0.357,1,China
62,17,female,19,Matching,Familiar,Familiar,Close,serenity,4,8,S3,565,0.565,1,China
63,17,female,19,Matching,Familiar,Familiar,Close,serenity,4,8,S3,405,0.405,1,China
64,17,female,19,Matching,Familiar,Familiar,Close,serenity,4,8,S3,408,0.408,0,China
