,Subject,Gender,Matching,Origin_Identity,English_Identity,Identity,Cue,RT_ms,RT_sec,ACC,Country
1,1,female,Matching,Self,Self,Self,Alter cue,493,0.493,1,China
2,1,female,Matching,Self,Self,Self,No cue,316,0.316,1,China
3,1,female,Matching,Self,Self,Self,No cue,375,0.375,1,China
4,1,female,Matching,Self,Self,Self,Alter cue,461,0.461,1,China
5,1,female,Matching,Self,Self,Self,Alter cue,347,0.347,1,China
6,1,female,Matching,Self,Self,Self,No cue,516,0.516,0,China
7,1,female,Matching,Self,Self,Self,Alter cue,341,0.341,1,China
8,1,female,Matching,Self,Self,Self,Alter cue,344,0.344,1,China
9,1,female,Matching,Self,Self,Self,No cue,647,0.647,0,China
10,1,female,Matching,Self,Self,Self,No cue,752,0.752,1,China
11,1,female,Matching,Self,Self,Self,Alter cue,525,0.525,1,China
12,1,female,Matching,Self,Self,Self,No cue,804,0.804,1,China
13,1,female,Matching,Self,Self,Self,No cue,645,0.645,1,China
14,1,female,Matching,Self,Self,Self,No cue,344,0.344,1,China
15,1,female,Matching,Self,Self,Self,No cue,447,0.447,1,China
16,1,female,Matching,Self,Self,Self,No cue,402,0.402,0,China
17,1,female,Matching,Self,Self,Self,Alter cue,407,0.407,0,China
18,1,female,Matching,Self,Self,Self,Alter cue,382,0.382,1,China
19,1,female,Matching,Self,Self,Self,Alter cue,579,0.579,1,China
20,1,female,Matching,Self,Self,Self,Alter cue,276,0.276,1,China
21,1,female,Matching,Self,Self,Self,No cue,323,0.323,1,China
22,1,female,Matching,Self,Self,Self,No cue,372,0.372,1,China
23,1,female,Matching,Self,Self,Self,No cue,416,0.416,1,China
24,1,female,Matching,Self,Self,Self,Alter cue,423,0.423,1,China
25,1,female,Matching,Self,Self,Self,No cue,536,0.536,1,China
26,1,female,Matching,Self,Self,Self,No cue,455,0.455,1,China
27,1,female,Matching,Self,Self,Self,No cue,518,0.518,0,China
28,1,female,Matching,Self,Self,Self,No cue,357,0.357,1,China
29,1,female,Matching,Self,Self,Self,Alter cue,512,0.512,1,China
30,1,female,Matching,Self,Self,Self,No cue,557,0.557,1,China
31,1,female,Matching,Self,Self,Self,Alter cue,808,0.808,1,China
32,1,female,Matching,Self,Self,Self,Alter cue,610,0.61,1,China
33,1,female,Matching,Self,Self,Self,Alter cue,562,0.562,1,China
34,1,female,Matching,Self,Self,Self,No cue,466,0.466,1,China
35,1,female,Matching,Self,Self,Self,Alter cue,550,0.55,1,China
36,1,female,Matching,Self,Self,Self,Alter cue,362,0.362,1,China
37,1,female,Matching,Self,Self,Self,Alter cue,537,0.537,1,China
38,1,female,Matching,Self,Self,Self,Alter cue,291,0.291,1,China
39,1,female,Matching,Self,Self,Self,No cue,367,0.367,1,China
40,1,female,Matching,Self,Self,Self,Alter cue,369,0.369,1,China
41,1,female,Matching,Self,Self,Self,Alter cue,453,0.453,1,China
42,1,female,Matching,Self,Self,Self,No cue,399,0.399,1,China
43,1,female,Matching,Self,Self,Self,Alter cue,348,0.348,1,China
44,1,female,Matching,Self,Self,Self,Alter cue,491,0.491,1,China
45,1,female,Matching,Self,Self,Self,Alter cue,381,0.381,0,China
46,1,female,Matching,Self,Self,Self,No cue,453,0.453,1,China
47,1,female,Matching,Self,Self,Self,No cue,493,0.493,1,China
48,1,female,Matching,Self,Self,Self,No cue,382,0.382,1,China
49,1,female,Matching,Self,Self,Self,Alter cue,297,0.297,0,China
50,1,female,Matching,Self,Self,Self,No cue,572,0.572,1,China
51,1,female,Matching,Familiar,Familiar,Close,Alter cue,399,0.399,0,China
52,1,female,Matching,Familiar,Familiar,Close,No cue,471,0.471,0,China
53,1,female,Matching,Familiar,Familiar,Close,No cue,725,0.725,1,China
54,1,female,Matching,Familiar,Familiar,Close,No cue,554,0.554,1,China
55,1,female,Matching,Familiar,Familiar,Close,Alter cue,662,0.662,1,China
56,1,female,Matching,Familiar,Familiar,Close,Alter cue,757,0.757,1,China
57,1,female,Matching,Familiar,Familiar,Close,Alter cue,723,0.723,0,China
58,1,female,Matching,Familiar,Familiar,Close,No cue,386,0.386,0,China
