,Subject,Age,Gender,Matching,Identity,Session,RT_ms,RT_sec,ACC,Country
1,2801,20,female,Matching,Self,1,523,0.523,1,China
2,2801,20,female,Matching,Self,1,497,0.497,1,China
3,2801,20,female,Matching,Self,1,902,0.902,1,China
4,2801,20,female,Matching,Self,1,0,0,0,China
5,2801,20,female,Matching,Self,1,658,0.658,1,China
6,2801,20,female,Matching,Self,1,750,0.75,1,China
7,2801,20,female,Matching,Self,1,588,0.588,1,China
8,2801,20,female,Matching,Self,1,643,0.643,1,China
9,2801,20,female,Matching,Self,1,508,0.508,1,China
10,2801,20,female,Matching,Self,1,604,0.604,1,China
11,2801,20,female,Matching,Self,1,359,0.359,1,China
12,2801,20,female,Matching,Self,1,547,0.547,1,China
13,2801,20,female,Matching,Self,1,635,0.635,1,China
14,2801,20,female,Matching,Self,1,385,0.385,1,China
15,2801,20,female,Matching,Self,1,437,0.437,1,China
16,2801,20,female,Matching,Self,1,495,0.495,1,China
17,2801,20,female,Matching,Self,1,584,0.584,1,China
18,2801,20,female,Matching,Self,1,577,0.577,1,China
19,2801,20,female,Matching,Self,1,518,0.518,1,China
20,2801,20,female,Matching,Self,1,463,0.463,1,China
21,2801,20,female,Matching,Self,1,911,0.911,1,China
22,2801,20,female,Matching,Self,1,830,0.83,1,China
23,2801,20,female,Matching,Self,1,682,0.682,1,China
24,2801,20,female,Matching,Self,1,694,0.694,1,China
25,2801,20,female,Matching,Self,1,830,0.83,1,China
26,2801,20,female,Matching,Self,1,670,0.67,1,China
27,2801,20,female,Matching,Self,1,930,0.93,1,China
28,2801,20,female,Matching,Self,1,776,0.776,0,China
29,2801,20,female,Matching,Self,1,675,0.675,1,China
30,2801,20,female,Matching,Self,1,910,0.91,1,China
31,2801,20,female,Matching,Self,1,774,0.774,1,China
32,2801,20,female,Matching,Self,1,469,0.469,1,China
33,2801,20,female,Matching,Self,1,731,0.731,1,China
34,2801,20,female,Matching,Self,1,582,0.582,1,China
35,2801,20,female,Matching,Self,1,433,0.433,1,China
36,2801,20,female,Matching,Self,1,381,0.381,1,China
37,2801,20,female,Matching,Self,1,297,0.297,1,China
38,2801,20,female,Matching,Self,1,557,0.557,1,China
39,2801,20,female,Matching,Self,1,657,0.657,1,China
40,2801,20,female,Matching,Self,1,581,0.581,1,China
41,2801,20,female,Matching,Self,1,717,0.717,1,China
42,2801,20,female,Matching,Self,1,779,0.779,1,China
43,2801,20,female,Matching,Self,1,588,0.588,1,China
44,2801,20,female,Matching,Self,1,1138,1.138,1,China
45,2801,20,female,Matching,Self,1,564,0.564,1,China
46,2801,20,female,Matching,Self,1,738,0.738,1,China
47,2801,20,female,Matching,Self,1,580,0.58,1,China
48,2801,20,female,Matching,Self,1,730,0.73,1,China
49,2801,20,female,Matching,Self,1,485,0.485,1,China
50,2801,20,female,Matching,Self,1,795,0.795,0,China
51,2801,20,female,Matching,Self,1,422,0.422,1,China
52,2801,20,female,Matching,Self,1,772,0.772,1,China
53,2801,20,female,Matching,Self,1,575,0.575,1,China
54,2801,20,female,Matching,Self,1,621,0.621,0,China
55,2801,20,female,Matching,Self,1,702,0.702,1,China
56,2801,20,female,Matching,Self,1,653,0.653,1,China
57,2801,20,female,Matching,Self,1,654,0.654,1,China
58,2801,20,female,Matching,Self,1,772,0.772,1,China
59,2801,20,female,Matching,Self,1,606,0.606,1,China
60,2801,20,female,Matching,Self,1,556,0.556,1,China
61,2801,20,female,Matching,Self,2,612,0.612,1,China
62,2801,20,female,Matching,Self,2,546,0.546,1,China
63,2801,20,female,Matching,Self,2,535,0.535,1,China
64,2801,20,female,Matching,Self,2,534,0.534,1,China
65,2801,20,female,Matching,Self,2,695,0.695,1,China
66,2801,20,female,Matching,Self,2,725,0.725,1,China
67,2801,20,female,Matching,Self,2,601,0.601,1,China
68,2801,20,female,Matching,Self,2,525,0.525,1,China
69,2801,20,female,Matching,Self,2,705,0.705,1,China
70,2801,20,female,Matching,Self,2,553,0.553,1,China
71,2801,20,female,Matching,Self,2,441,0.441,1,China
72,2801,20,female,Matching,Self,2,583,0.583,1,China
73,2801,20,female,Matching,Self,2,481,0.481,1,China
74,2801,20,female,Matching,Self,2,551,0.551,1,China
75,2801,20,female,Matching,Self,2,526,0.526,1,China
76,2801,20,female,Matching,Self,2,616,0.616,1,China
77,2801,20,female,Matching,Self,2,725,0.725,1,China
78,2801,20,female,Matching,Self,2,518,0.518,1,China
79,2801,20,female,Matching,Self,2,728,0.728,1,China
80,2801,20,female,Matching,Self,2,472,0.472,1,China
81,2801,20,female,Matching,Self,2,688,0.688,1,China
82,2801,20,female,Matching,Self,2,740,0.74,1,China
83,2801,20,female,Matching,Self,2,522,0.522,1,China
84,2801,20,female,Matching,Self,2,1008,1.008,0,China
85,2801,20,female,Matching,Self,2,497,0.497,1,China
86,2801,20,female,Matching,Self,2,579,0.579,1,China
87,2801,20,female,Matching,Self,2,855,0.855,1,China
88,2801,20,female,Matching,Self,2,631,0.631,1,China
89,2801,20,female,Matching,Self,2,581,0.581,1,China
90,2801,20,female,Matching,Self,2,573,0.573,1,China
91,2801,20,female,Matching,Self,2,502,0.502,1,China
92,2801,20,female,Matching,Self,2,652,0.652,1,China
93,2801,20,female,Matching,Self,2,508,0.508,1,China
94,2801,20,female,Matching,Self,2,612,0.612,1,China
95,2801,20,female,Matching,Self,2,547,0.547,1,China
96,2801,20,female,Matching,Self,2,959,0.959,1,China
97,2801,20,female,Matching,Self,2,595,0.595,1,China
98,2801,20,female,Matching,Self,2,479,0.479,1,China
99,2801,20,female,Matching,Self,2,729,0.729,1,China
100,2801,20,female,Matching,Self,2,517,0.517,1,China
101,2801,20,female,Matching,Self,3,550,0.55,1,China
102,2801,20,female,Matching,Self,3,698,0.698,1,China
103,2801,20,female,Matching,Self,3,414,0.414,1,China
104,2801,20,female,Matching,Self,3,476,0.476,1,China
105,2801,20,female,Matching,Self,3,565,0.565,1,China
106,2801,20,female,Matching,Self,3,523,0.523,1,China
107,2801,20,female,Matching,Self,3,525,0.525,1,China
108,2801,20,female,Matching,Self,3,810,0.81,1,China
109,2801,20,female,Matching,Self,3,630,0.63,1,China
110,2801,20,female,Matching,Self,3,514,0.514,1,China
111,2801,20,female,Matching,Self,3,620,0.62,1,China
112,2801,20,female,Matching,Self,3,492,0.492,1,China
113,2801,20,female,Matching,Self,3,352,0.352,1,China
114,2801,20,female,Matching,Self,3,650,0.65,1,China
115,2801,20,female,Matching,Self,3,428,0.428,1,China
116,2801,20,female,Matching,Self,3,542,0.542,1,China
117,2801,20,female,Matching,Self,3,420,0.42,1,China
118,2801,20,female,Matching,Self,3,643,0.643,0,China
119,2801,20,female,Matching,Self,3,506,0.506,1,China
120,2801,20,female,Matching,Self,3,397,0.397,1,China
121,2801,20,female,Matching,Close,1,692,0.692,1,China
122,2801,20,female,Matching,Close,1,1124,1.124,1,China
123,2801,20,female,Matching,Close,1,716,0.716,0,China
124,2801,20,female,Matching,Close,1,1121,1.121,0,China
125,2801,20,female,Matching,Close,1,984,0.984,1,China
126,2801,20,female,Matching,Close,1,0,0,0,China
127,2801,20,female,Matching,Close,1,870,0.87,1,China
128,2801,20,female,Matching,Close,1,814,0.814,1,China
129,2801,20,female,Matching,Close,1,698,0.698,0,China
130,2801,20,female,Matching,Close,1,672,0.672,1,China
131,2801,20,female,Matching,Close,1,1027,1.027,1,China
132,2801,20,female,Matching,Close,1,1134,1.134,1,China
133,2801,20,female,Matching,Close,1,853,0.853,0,China
134,2801,20,female,Matching,Close,1,687,0.687,0,China
135,2801,20,female,Matching,Close,1,737,0.737,0,China
136,2801,20,female,Matching,Close,1,655,0.655,1,China
137,2801,20,female,Matching,Close,1,885,0.885,1,China
138,2801,20,female,Matching,Close,1,0,0,0,China
139,2801,20,female,Matching,Close,1,554,0.554,1,China
140,2801,20,female,Matching,Close,1,543,0.543,0,China
141,2801,20,female,Matching,Close,1,659,0.659,1,China
142,2801,20,female,Matching,Close,1,870,0.87,1,China
143,2801,20,female,Matching,Close,1,1084,1.084,1,China
144,2801,20,female,Matching,Close,1,0,0,0,China
145,2801,20,female,Matching,Close,1,753,0.753,1,China
146,2801,20,female,Matching,Close,1,0,0,0,China
