,Subject,Age,Gender,Handedness,Matching,Identity,Session,RT_ms,RT_sec,ACC,Country
1,0,0,fm,R,Matching,Self,1,620,0.62,1,China
2,0,0,fm,R,Matching,Self,1,564,0.564,1,China
3,0,0,fm,R,Matching,Self,1,608,0.608,1,China
4,0,0,fm,R,Matching,Self,1,478,0.478,1,China
5,0,0,fm,R,Matching,Self,1,364,0.364,1,China
6,0,0,fm,R,Matching,Self,1,532,0.532,1,China
7,0,0,fm,R,Matching,Self,1,294,0.294,1,China
8,0,0,fm,R,Matching,Self,1,587,0.587,1,China
9,0,0,fm,R,Matching,Self,1,742,0.742,1,China
10,0,0,fm,R,Matching,Self,1,650,0.65,1,China
11,0,0,fm,R,Matching,Self,1,409,0.409,1,China
12,0,0,fm,R,Matching,Self,1,565,0.565,1,China
13,0,0,fm,R,Matching,Self,1,491,0.491,1,China
14,0,0,fm,R,Matching,Self,1,818,0.818,1,China
15,0,0,fm,R,Matching,Self,1,399,0.399,1,China
16,0,0,fm,R,Matching,Self,1,362,0.362,1,China
17,0,0,fm,R,Matching,Self,1,546,0.546,1,China
18,0,0,fm,R,Matching,Self,1,482,0.482,1,China
19,0,0,fm,R,Matching,Self,1,366,0.366,1,China
20,0,0,fm,R,Matching,Self,1,480,0.48,1,China
21,0,0,fm,R,Matching,Self,1,1148,1.148,3,China
22,0,0,fm,R,Matching,Self,1,514,0.514,0,China
23,0,0,fm,R,Matching,Self,1,942,0.942,0,China
24,0,0,fm,R,Matching,Self,1,472,0.472,1,China
25,0,0,fm,R,Matching,Self,1,610,0.61,1,China
26,0,0,fm,R,Matching,Self,1,765,0.765,1,China
27,0,0,fm,R,Matching,Self,1,569,0.569,0,China
28,0,0,fm,R,Matching,Self,1,354,0.354,1,China
29,0,0,fm,R,Matching,Self,1,508,0.508,1,China
30,0,0,fm,R,Matching,Self,1,472,0.472,0,China
31,0,0,fm,R,Matching,Self,1,552,0.552,1,China
32,0,0,fm,R,Matching,Self,1,654,0.654,1,China
33,0,0,fm,R,Matching,Self,1,674,0.674,0,China
34,0,0,fm,R,Matching,Self,1,524,0.524,1,China
35,0,0,fm,R,Matching,Self,1,620,0.62,1,China
36,0,0,fm,R,Matching,Self,1,502,0.502,1,China
37,0,0,fm,R,Matching,Self,1,783,0.783,0,China
38,0,0,fm,R,Matching,Self,1,400,0.4,0,China
39,0,0,fm,R,Matching,Self,1,477,0.477,1,China
40,0,0,fm,R,Matching,Self,1,411,0.411,1,China
41,0,0,fm,R,Matching,Close,1,1126,1.126,3,China
42,0,0,fm,R,Matching,Close,1,617,0.617,0,China
43,0,0,fm,R,Matching,Close,1,629,0.629,0,China
44,0,0,fm,R,Matching,Close,1,614,0.614,0,China
45,0,0,fm,R,Matching,Close,1,420,0.42,0,China
46,0,0,fm,R,Matching,Close,1,535,0.535,1,China
47,0,0,fm,R,Matching,Close,1,544,0.544,1,China
48,0,0,fm,R,Matching,Close,1,467,0.467,0,China
49,0,0,fm,R,Matching,Close,1,631,0.631,1,China
50,0,0,fm,R,Matching,Close,1,635,0.635,0,China
51,0,0,fm,R,Matching,Close,1,521,0.521,1,China
52,0,0,fm,R,Matching,Close,1,704,0.704,0,China
53,0,0,fm,R,Matching,Close,1,660,0.66,1,China
54,0,0,fm,R,Matching,Close,1,529,0.529,1,China
55,0,0,fm,R,Matching,Close,1,446,0.446,0,China
56,0,0,fm,R,Matching,Close,1,708,0.708,1,China
57,0,0,fm,R,Matching,Close,1,452,0.452,0,China
58,0,0,fm,R,Matching,Close,1,530,0.53,0,China
59,0,0,fm,R,Matching,Close,1,143,0.143,0,China
60,0,0,fm,R,Matching,Close,1,356,0.356,0,China
61,0,0,fm,R,Matching,Close,1,183,0.183,1,China
62,0,0,fm,R,Matching,Close,1,1418,1.418,3,China
63,0,0,fm,R,Matching,Close,1,635,0.635,1,China
64,0,0,fm,R,Matching,Close,1,650,0.65,1,China
65,0,0,fm,R,Matching,Close,1,691,0.691,1,China
66,0,0,fm,R,Matching,Close,1,400,0.4,1,China
67,0,0,fm,R,Matching,Close,1,499,0.499,0,China
68,0,0,fm,R,Matching,Close,1,304,0.304,0,China
69,0,0,fm,R,Matching,Close,1,796,0.796,1,China
70,0,0,fm,R,Matching,Close,1,509,0.509,0,China
71,0,0,fm,R,Matching,Close,1,550,0.55,0,China
72,0,0,fm,R,Matching,Close,1,730,0.73,0,China
73,0,0,fm,R,Matching,Close,1,223,0.223,1,China
74,0,0,fm,R,Matching,Close,1,416,0.416,0,China
75,0,0,fm,R,Matching,Close,1,176,0.176,0,China
76,0,0,fm,R,Matching,Close,1,595,0.595,0,China
77,0,0,fm,R,Matching,Close,1,580,0.58,1,China
78,0,0,fm,R,Matching,Close,1,784,0.784,0,China
79,0,0,fm,R,Matching,Close,1,470,0.47,1,China
80,0,0,fm,R,Matching,Close,1,569,0.569,0,China
81,0,0,fm,R,Matching,Stranger,1,496,0.496,0,China
82,0,0,fm,R,Matching,Stranger,1,582,0.582,0,China
83,0,0,fm,R,Matching,Stranger,1,276,0.276,1,China
84,0,0,fm,R,Matching,Stranger,1,429,0.429,1,China
85,0,0,fm,R,Matching,Stranger,1,426,0.426,1,China
86,0,0,fm,R,Matching,Stranger,1,600,0.6,1,China
87,0,0,fm,R,Matching,Stranger,1,489,0.489,0,China
88,0,0,fm,R,Matching,Stranger,1,712,0.712,1,China
89,0,0,fm,R,Matching,Stranger,1,461,0.461,1,China
90,0,0,fm,R,Matching,Stranger,1,546,0.546,1,China
91,0,0,fm,R,Matching,Stranger,1,275,0.275,1,China
92,0,0,fm,R,Matching,Stranger,1,616,0.616,1,China
93,0,0,fm,R,Matching,Stranger,1,666,0.666,1,China
94,0,0,fm,R,Matching,Stranger,1,589,0.589,1,China
95,0,0,fm,R,Matching,Stranger,1,461,0.461,1,China
96,0,0,fm,R,Matching,Stranger,1,600,0.6,1,China
97,0,0,fm,R,Matching,Stranger,1,584,0.584,0,China
98,0,0,fm,R,Matching,Stranger,1,518,0.518,1,China
99,0,0,fm,R,Matching,Stranger,1,610,0.61,1,China
100,0,0,fm,R,Matching,Stranger,1,491,0.491,1,China
101,0,0,fm,R,Matching,Stranger,1,630,0.63,0,China
102,0,0,fm,R,Matching,Stranger,1,570,0.57,1,China
103,0,0,fm,R,Matching,Stranger,1,409,0.409,1,China
104,0,0,fm,R,Matching,Stranger,1,470,0.47,1,China
105,0,0,fm,R,Matching,Stranger,1,645,0.645,1,China
106,0,0,fm,R,Matching,Stranger,1,600,0.6,1,China
107,0,0,fm,R,Matching,Stranger,1,512,0.512,1,China
108,0,0,fm,R,Matching,Stranger,1,386,0.386,0,China
109,0,0,fm,R,Matching,Stranger,1,556,0.556,1,China
110,0,0,fm,R,Matching,Stranger,1,736,0.736,1,China
111,0,0,fm,R,Matching,Stranger,1,528,0.528,1,China
112,0,0,fm,R,Matching,Stranger,1,553,0.553,0,China
113,0,0,fm,R,Matching,Stranger,1,660,0.66,1,China
