,Subject,Word,Shape,Matching,Origin_Identity,English_Identity,Identity,RT_ms,RT_sec,ACC,Country
1,1,FRIEND,Friend,Matching,Friend,Friend,Close,391,0.391,0,United Kingdom
2,1,FRIEND,Friend,Matching,Friend,Friend,Close,627,0.627,1,United Kingdom
3,1,FRIEND,Friend,Matching,Friend,Friend,Close,648,0.648,1,United Kingdom
4,1,FRIEND,Friend,Matching,Friend,Friend,Close,802,0.802,1,United Kingdom
5,1,FRIEND,Friend,Matching,Friend,Friend,Close,436,0.436,1,United Kingdom
6,1,FRIEND,Friend,Matching,Friend,Friend,Close,573,0.573,1,United Kingdom
7,1,FRIEND,Friend,Matching,Friend,Friend,Close,994,0.994,1,United Kingdom
8,1,FRIEND,Friend,Matching,Friend,Friend,Close,594,0.594,1,United Kingdom
9,1,FRIEND,Friend,Matching,Friend,Friend,Close,507,0.507,1,United Kingdom
10,1,FRIEND,Friend,Matching,Friend,Friend,Close,790,0.79,1,United Kingdom
11,1,FRIEND,Friend,Matching,Friend,Friend,Close,586,0.586,1,United Kingdom
12,1,FRIEND,Friend,Matching,Friend,Friend,Close,777,0.777,1,United Kingdom
13,1,FRIEND,Friend,Matching,Friend,Friend,Close,970,0.97,1,United Kingdom
14,1,FRIEND,Friend,Matching,Friend,Friend,Close,1053,1.053,1,United Kingdom
15,1,FRIEND,Friend,Matching,Friend,Friend,Close,549,0.549,1,United Kingdom
16,1,FRIEND,Friend,Matching,Friend,Friend,Close,749,0.749,1,United Kingdom
17,1,FRIEND,Friend,Matching,Friend,Friend,Close,699,0.699,1,United Kingdom
18,1,FRIEND,Friend,Matching,Friend,Friend,Close,605,0.605,0,United Kingdom
19,1,FRIEND,Friend,Matching,Friend,Friend,Close,807,0.807,1,United Kingdom
20,1,FRIEND,Friend,Matching,Friend,Friend,Close,762,0.762,1,United Kingdom
21,1,FRIEND,Friend,Matching,Friend,Friend,Close,622,0.622,1,United Kingdom
22,1,FRIEND,Friend,Matching,Friend,Friend,Close,681,0.681,1,United Kingdom
23,1,FRIEND,Friend,Matching,Friend,Friend,Close,530,0.53,1,United Kingdom
24,1,FRIEND,Friend,Matching,Friend,Friend,Close,677,0.677,1,United Kingdom
25,1,FRIEND,Friend,Matching,Friend,Friend,Close,1090,1.09,1,United Kingdom
26,1,FRIEND,Friend,Matching,Friend,Friend,Close,577,0.577,0,United Kingdom
27,1,FRIEND,Friend,Matching,Friend,Friend,Close,745,0.745,1,United Kingdom
28,1,FRIEND,Friend,Matching,Friend,Friend,Close,847,0.847,1,United Kingdom
29,1,FRIEND,Friend,Matching,Friend,Friend,Close,748,0.748,0,United Kingdom
30,1,FRIEND,Friend,Matching,Friend,Friend,Close,755,0.755,1,United Kingdom
31,1,FRIEND,Friend,Matching,Friend,Friend,Close,691,0.691,1,United Kingdom
32,1,FRIEND,Friend,Matching,Friend,Friend,Close,653,0.653,0,United Kingdom
33,1,FRIEND,Friend,Matching,Friend,Friend,Close,809,0.809,0,United Kingdom
34,1,FRIEND,Friend,Matching,Friend,Friend,Close,515,0.515,0,United Kingdom
35,1,FRIEND,Friend,Matching,Friend,Friend,Close,462,0.462,0,United Kingdom
36,1,FRIEND,Friend,Matching,Friend,Friend,Close,877,0.877,1,United Kingdom
37,1,FRIEND,Friend,Matching,Friend,Friend,Close,599,0.599,1,United Kingdom
38,1,FRIEND,Friend,Matching,Friend,Friend,Close,743,0.743,0,United Kingdom
39,1,FRIEND,Friend,Matching,Friend,Friend,Close,756,0.756,0,United Kingdom
40,1,FRIEND,Friend,Matching,Friend,Friend,Close,643,0.643,1,United Kingdom
41,1,FRIEND,Friend,Matching,Friend,Friend,Close,730,0.73,1,United Kingdom
