,Subject,Label,Matching,Origin_Identity,English_Identity,Identity,RT_ms,RT_sec,ACC,Country
1,1,Self,Matching,Friend,Friend,Close,908,0.908,1,United Kingdom
2,1,Self,Matching,Friend,Friend,Close,810,0.81,1,United Kingdom
3,1,Self,Matching,Friend,Friend,Close,1063,1.063,1,United Kingdom
4,1,Self,Matching,Friend,Friend,Close,816,0.816,1,United Kingdom
5,1,Self,Matching,Friend,Friend,Close,663,0.663,0,United Kingdom
6,1,Self,Matching,Friend,Friend,Close,796,0.796,0,United Kingdom
7,1,Self,Matching,Friend,Friend,Close,719,0.719,1,United Kingdom
8,1,Self,Matching,Friend,Friend,Close,901,0.901,1,United Kingdom
9,1,Self,Matching,Friend,Friend,Close,621,0.621,0,United Kingdom
10,1,Self,Matching,Friend,Friend,Close,649,0.649,0,United Kingdom
11,1,Self,Matching,Friend,Friend,Close,846,0.846,1,United Kingdom
12,1,Self,Matching,Friend,Friend,Close,792,0.792,1,United Kingdom
13,1,Self,Matching,Friend,Friend,Close,962,0.962,1,United Kingdom
14,1,Self,Matching,Friend,Friend,Close,832,0.832,0,United Kingdom
15,1,Self,Matching,Friend,Friend,Close,543,0.543,1,United Kingdom
16,1,Self,Matching,Friend,Friend,Close,884,0.884,1,United Kingdom
17,1,Self,Matching,Friend,Friend,Close,785,0.785,1,United Kingdom
18,1,Self,Matching,Friend,Friend,Close,504,0.504,1,United Kingdom
19,1,Self,Matching,Friend,Friend,Close,554,0.554,1,United Kingdom
20,1,Self,Matching,Friend,Friend,Close,496,0.496,1,United Kingdom
21,1,Self,Matching,Friend,Friend,Close,867,0.867,1,United Kingdom
22,1,Self,Matching,Friend,Friend,Close,732,0.732,1,United Kingdom
23,1,Self,Matching,Friend,Friend,Close,614,0.614,1,United Kingdom
24,1,Friend,Matching,Friend,Friend,Close,759,0.759,1,United Kingdom
25,1,Friend,Matching,Friend,Friend,Close,770,0.77,1,United Kingdom
26,1,Friend,Matching,Friend,Friend,Close,625,0.625,1,United Kingdom
27,1,Friend,Matching,Friend,Friend,Close,591,0.591,1,United Kingdom
28,1,Friend,Matching,Friend,Friend,Close,616,0.616,1,United Kingdom
29,1,Friend,Matching,Friend,Friend,Close,637,0.637,1,United Kingdom
30,1,Friend,Matching,Friend,Friend,Close,531,0.531,1,United Kingdom
31,1,Friend,Matching,Friend,Friend,Close,510,0.51,1,United Kingdom
32,1,Friend,Matching,Friend,Friend,Close,781,0.781,1,United Kingdom
33,1,Friend,Matching,Friend,Friend,Close,738,0.738,1,United Kingdom
34,1,Friend,Matching,Friend,Friend,Close,602,0.602,1,United Kingdom
35,1,Friend,Matching,Friend,Friend,Close,472,0.472,1,United Kingdom
36,1,Friend,Matching,Friend,Friend,Close,469,0.469,1,United Kingdom
37,1,Friend,Matching,Friend,Friend,Close,478,0.478,1,United Kingdom
38,1,Friend,Matching,Friend,Friend,Close,776,0.776,1,United Kingdom
39,1,Friend,Matching,Friend,Friend,Close,526,0.526,1,United Kingdom
40,1,Friend,Matching,Friend,Friend,Close,712,0.712,1,United Kingdom
41,1,Friend,Matching,Friend,Friend,Close,640,0.64,1,United Kingdom
42,1,Friend,Matching,Friend,Friend,Close,771,0.771,0,United Kingdom
43,1,Friend,Matching,Friend,Friend,Close,429,0.429,1,United Kingdom
44,1,Friend,Matching,Friend,Friend,Close,640,0.64,1,United Kingdom
45,1,Friend,Matching,Friend,Friend,Close,693,0.693,1,United Kingdom
46,1,Friend,Matching,Friend,Friend,Close,652,0.652,1,United Kingdom
47,1,Friend,Matching,Friend,Friend,Close,689,0.689,1,United Kingdom
48,1,Friend,Matching,Friend,Friend,Close,746,0.746,0,United Kingdom
49,1,Friend,Matching,Friend,Friend,Close,519,0.519,1,United Kingdom
50,1,Friend,Matching,Friend,Friend,Close,484,0.484,1,United Kingdom
51,1,Friend,Matching,Friend,Friend,Close,463,0.463,1,United Kingdom
52,1,Friend,Matching,Friend,Friend,Close,506,0.506,1,United Kingdom
53,1,Friend,Matching,Friend,Friend,Close,643,0.643,1,United Kingdom
54,1,Friend,Matching,Friend,Friend,Close,729,0.729,1,United Kingdom
55,1,Friend,Matching,Friend,Friend,Close,711,0.711,1,United Kingdom
56,1,Friend,Matching,Friend,Friend,Close,533,0.533,1,United Kingdom
57,1,Friend,Matching,Friend,Friend,Close,769,0.769,0,United Kingdom
58,1,Friend,Matching,Friend,Friend,Close,777,0.777,1,United Kingdom
59,1,Friend,Matching,Friend,Friend,Close,530,0.53,1,United Kingdom
60,1,Friend,Matching,Friend,Friend,Close,742,0.742,1,United Kingdom
61,1,Friend,Matching,Friend,Friend,Close,510,0.51,1,United Kingdom
62,1,Friend,Matching,Friend,Friend,Close,508,0.508,1,United Kingdom
63,1,Friend,Matching,Friend,Friend,Close,772,0.772,1,United Kingdom
64,1,Friend,Matching,Friend,Friend,Close,514,0.514,0,United Kingdom
65,1,Friend,Matching,Friend,Friend,Close,892,0.892,1,United Kingdom
66,1,Friend,Matching,Friend,Friend,Close,527,0.527,1,United Kingdom
67,1,Friend,Matching,Friend,Friend,Close,750,0.75,1,United Kingdom
68,1,Friend,Matching,Friend,Friend,Close,654,0.654,1,United Kingdom
69,1,Friend,Matching,Friend,Friend,Close,546,0.546,1,United Kingdom
70,1,Friend,Matching,Friend,Friend,Close,275,0.275,0,United Kingdom
71,1,Friend,Matching,Friend,Friend,Close,380,0.38,1,United Kingdom
72,1,Friend,Matching,Friend,Friend,Close,423,0.423,1,United Kingdom
73,1,Friend,Matching,Friend,Friend,Close,586,0.586,1,United Kingdom
74,1,Friend,Matching,Friend,Friend,Close,420,0.42,1,United Kingdom
75,1,Friend,Matching,Friend,Friend,Close,451,0.451,1,United Kingdom
76,1,Friend,Matching,Friend,Friend,Close,606,0.606,1,United Kingdom
77,1,Friend,Matching,Friend,Friend,Close,555,0.555,1,United Kingdom
78,1,Friend,Matching,Friend,Friend,Close,651,0.651,1,United Kingdom
79,1,Friend,Matching,Friend,Friend,Close,698,0.698,1,United Kingdom
80,1,Friend,Matching,Friend,Friend,Close,559,0.559,1,United Kingdom
81,1,Friend,Matching,Friend,Friend,Close,424,0.424,1,United Kingdom
82,1,Friend,Matching,Friend,Friend,Close,489,0.489,1,United Kingdom
83,1,Friend,Matching,Friend,Friend,Close,614,0.614,0,United Kingdom
84,1,Friend,Matching,Friend,Friend,Close,583,0.583,1,United Kingdom
85,1,Friend,Matching,Friend,Friend,Close,518,0.518,1,United Kingdom
86,1,Friend,Matching,Friend,Friend,Close,680,0.68,1,United Kingdom
87,1,Friend,Matching,Friend,Friend,Close,474,0.474,1,United Kingdom
88,1,Friend,Matching,Friend,Friend,Close,357,0.357,1,United Kingdom
89,1,Friend,Matching,Friend,Friend,Close,915,0.915,1,United Kingdom
90,1,Friend,Matching,Friend,Friend,Close,647,0.647,1,United Kingdom
91,1,Friend,Matching,Friend,Friend,Close,571,0.571,1,United Kingdom
92,1,Friend,Matching,Friend,Friend,Close,494,0.494,1,United Kingdom
93,1,Friend,Matching,Friend,Friend,Close,748,0.748,1,United Kingdom
94,1,Friend,Matching,Friend,Friend,Close,595,0.595,0,United Kingdom
95,1,Self,Matching,Self,Self,Self,729,0.729,1,United Kingdom
96,1,Self,Matching,Self,Self,Self,563,0.563,1,United Kingdom
97,1,Self,Matching,Self,Self,Self,590,0.59,1,United Kingdom
98,1,Self,Matching,Self,Self,Self,480,0.48,1,United Kingdom
99,1,Self,Matching,Self,Self,Self,670,0.67,1,United Kingdom
100,1,Self,Matching,Self,Self,Self,794,0.794,1,United Kingdom
101,1,Self,Matching,Self,Self,Self,600,0.6,1,United Kingdom
102,1,Self,Matching,Self,Self,Self,524,0.524,1,United Kingdom
103,1,Self,Matching,Self,Self,Self,616,0.616,1,United Kingdom
104,1,Self,Matching,Self,Self,Self,683,0.683,1,United Kingdom
105,1,Self,Matching,Self,Self,Self,616,0.616,1,United Kingdom
106,1,Self,Matching,Self,Self,Self,688,0.688,1,United Kingdom
107,1,Self,Matching,Self,Self,Self,640,0.64,1,United Kingdom
108,1,Self,Matching,Self,Self,Self,541,0.541,1,United Kingdom
109,1,Self,Matching,Self,Self,Self,640,0.64,1,United Kingdom
110,1,Self,Matching,Self,Self,Self,523,0.523,1,United Kingdom
111,1,Self,Matching,Self,Self,Self,661,0.661,1,United Kingdom
112,1,Self,Matching,Self,Self,Self,521,0.521,1,United Kingdom
113,1,Self,Matching,Self,Self,Self,592,0.592,1,United Kingdom
114,1,Self,Matching,Self,Self,Self,633,0.633,1,United Kingdom
