,Subject,Shape,Word,Matching,Identity,Group,RT_ms,RT_sec,ACC,Country
1,2,Self,Self,Matching,Self,2,NA,NA,NA,China
2,2,Self,Self,Matching,Self,2,NA,NA,NA,China
3,2,Self,Self,Matching,Self,2,437,0.437,1,China
4,2,Self,Self,Matching,Self,2,452,0.452,1,China
5,2,Self,Self,Matching,Self,2,448,0.448,1,China
6,2,Self,Self,Matching,Self,2,472,0.472,1,China
7,2,Self,Self,Matching,Self,2,592,0.592,0,China
8,2,Self,Self,Matching,Self,2,599,0.599,1,China
9,2,Self,Self,Matching,Self,2,484,0.484,1,China
10,2,Self,Self,Matching,Self,2,547,0.547,1,China
11,2,Self,Self,Matching,Self,2,595,0.595,1,China
12,2,Self,Self,Matching,Self,2,452,0.452,1,China
13,2,Self,Self,Matching,Self,2,651,0.651,0,China
14,2,Self,Self,Matching,Self,2,388,0.388,1,China
15,2,Self,Self,Matching,Self,2,499,0.499,1,China
16,2,Self,Self,Matching,Self,2,411,0.411,1,China
17,2,Self,Self,Matching,Self,2,852,0.852,1,China
18,2,Self,Self,Matching,Self,2,395,0.395,1,China
19,2,Self,Self,Matching,Self,2,483,0.483,1,China
20,2,Self,Self,Matching,Self,2,496,0.496,1,China
21,2,Self,Self,Matching,Self,2,471,0.471,1,China
22,2,Self,Self,Matching,Self,2,575,0.575,1,China
23,2,Self,Self,Matching,Self,2,391,0.391,1,China
24,2,Self,Self,Matching,Self,2,423,0.423,1,China
25,2,Self,Self,Matching,Self,2,367,0.367,1,China
26,2,Self,Self,Matching,Self,2,692,0.692,1,China
27,2,Self,Self,Matching,Self,2,455,0.455,1,China
28,2,Self,Self,Matching,Self,2,550,0.55,1,China
29,2,Self,Self,Matching,Self,2,437,0.437,1,China
30,2,Self,Self,Matching,Self,2,490,0.49,1,China
31,2,Self,Self,Matching,Self,2,513,0.513,1,China
32,2,Self,Self,Matching,Self,2,350,0.35,1,China
33,2,Self,Self,Matching,Self,2,502,0.502,1,China
34,2,Self,Self,Matching,Self,2,471,0.471,1,China
