,Estimate,Est.Error,Q2.5,Q97.5
Intercept,0.673741587977525,0.011817407459859,0.656283215987681,0.694902751575171
MatchingNonmatching,0.0649821623404279,0.00103419711265914,0.0630012159334526,0.067049928025423
IdentityClose,0.0458429842347157,0.00131173329033855,0.0433133127485716,0.04841789550162
IdentityStranger,0.0545985502253491,0.00130252769838136,0.0520957345152953,0.057185836977665
IdentityOther,0.0116454644456833,0.00135986032079141,0.00903593468064175,0.0142481124414686
CountryGermany,0.0906834711017866,0.00220031583517029,0.0864638448422747,0.0949875519257738
CountryUnitedKingdom,0.144175034479016,0.00130668447448731,0.141666798387203,0.146815247878924
MatchingNonmatching:IdentityClose,-0.038207966,0.00170099821182598,-0.041602032,-0.034856112
MatchingNonmatching:IdentityStranger,-0.046837872,0.00174411342421829,-0.050288226,-0.04337303
MatchingNonmatching:IdentityOther,-0.008051706,0.00184065228969909,-0.011712339,-0.004459941
MatchingNonmatching:CountryGermany,0.0581162775625393,0.00292822337020393,0.0522897653666057,0.0638408694070843
MatchingNonmatching:CountryUnitedKingdom,-0.005129733,0.0015811944481777,-0.008282897,-0.002098655
IdentityClose:CountryGermany,-0.064897536,0.00485880972196629,-0.074282986,-0.055290277
IdentityStranger:CountryGermany,0.101619671709667,0.00311148135354298,0.0955428258017391,0.107759626511918
IdentityOther:CountryGermany,-0.027419237,0.00945917429782092,-0.045653889,-0.008717567
IdentityClose:CountryUnitedKingdom,-0.059383247,0.00201993430421506,-0.063437194,-0.055485029
IdentityStranger:CountryUnitedKingdom,0.0504547448010613,0.00178159716409258,0.0470092505165324,0.053916577294862
IdentityOther:CountryUnitedKingdom,-0.048335909,0.00234057189972469,-0.053049897,-0.043836225
MatchingNonmatching:IdentityClose:CountryGermany,-0.011862323,0.00677509548520365,-0.024964232,0.00139851877634092
MatchingNonmatching:IdentityStranger:CountryGermany,-0.080160556,0.00431846767576241,-0.088327798,-0.071533017
MatchingNonmatching:IdentityOther:CountryGermany,-0.109094867,0.013473897916869,-0.135394265,-0.082968391
MatchingNonmatching:IdentityClose:CountryUnitedKingdom,0.0365142027180643,0.00278840552231684,0.0310402397959522,0.0420893707686524
MatchingNonmatching:IdentityStranger:CountryUnitedKingdom,0.00701526975086608,0.00248369059453369,0.00212115098551906,0.0119024861040897
MatchingNonmatching:IdentityOther:CountryUnitedKingdom,-0.050459932,0.0031874936066797,-0.056670247,-0.043908917
