experiment_type,gender,origin_area,average_GPA,family_type,only_child,leftbehind_experience,student_id,A_wisdom_knowledge,B_wisdom_knowledge,A_courage,B_courage,A_humanity,B_humanity,A_justice,B_justice,A_temperance,B_temperance,A_transcendence,B_transcendence,A_total_score,B_total_score
1,2,2,3.22,4,2,2,2022080143,3.5,3.83333333333333,3.625,3.875,3.8,3.8,3.88888888888889,3.77777777777778,3.90909090909091,4.81818181818182,3.91666666666667,5,3.7741935483871,4.2258064516129
1,2,1,3,2,1,2,2022080118,3.58333333333333,3.75,3.625,3.75,3.6,3.8,3.44444444444444,2.55555555555556,3.45454545454545,3.27272727272727,3.66666666666667,3.5,3.56451612903226,3.45161290322581
1,2,2,3.6,2,2,1,2022080092,3.58333333333333,3,3.375,4.5,3.8,4.6,3.66666666666667,4.44444444444444,3.45454545454545,4.18181818181818,4,5,3.66129032258065,4.25806451612903
1,2,2,3.26,3,2,2,2022080122,3.91666666666667,3.58333333333333,3.75,4.875,3.8,4.5,4,4.66666666666667,3.90909090909091,4.90909090909091,4,4.75,3.90322580645161,4.51612903225806
1,2,1,3.2,3,1,2,2022080100,3.41666666666667,3.16666666666667,3.5,4.375,3.2,3.6,3.33333333333333,4.33333333333333,3.36363636363636,3.54545454545455,3.41666666666667,3.91666666666667,3.37096774193548,3.7741935483871
1,2,1,3.22,3,2,2,2022080096,3.5,2.91666666666667,3.75,4.375,4.4,4.8,3.77777777777778,4.55555555555556,4.36363636363636,5,4.08333333333333,5,3.98387096774194,4.41935483870968
1,2,1,2.5,3,1,2,2022080097,3.5,3.58333333333333,3.875,3.875,3.6,3.9,3.66666666666667,3.66666666666667,3.45454545454545,2.90909090909091,3.75,3.08333333333333,3.62903225806452,3.46774193548387
1,2,1,3.6,3,2,2,2022080119,3.25,3.08333333333333,3.5,5,3.4,5,3.33333333333333,4.33333333333333,3.45454545454545,4.27272727272727,3.58333333333333,4.91666666666667,3.41935483870968,4.38709677419355
1,2,2,3.4,3,2,1,2022080141,3.33333333333333,3.41666666666667,3.375,3.5,3.7,3.8,3.44444444444444,4.33333333333333,3.90909090909091,4,3.58333333333333,4.58333333333333,3.56451612903226,3.95161290322581
1,2,2,3.08,1,2,1,2022080145,2.75,2.58333333333333,3.125,3.25,3.2,2.4,3.44444444444444,4,3.18181818181818,3.54545454545455,3.25,2.83333333333333,3.14516129032258,3.06451612903226
1,2,1,2.81,3,2,2,2022080149,4.33333333333333,4,4,4,4.1,4.9,4,3.77777777777778,4.54545454545455,5,4.25,4.83333333333333,4.2258064516129,4.45161290322581
1,2,1,3.02,3,1,2,2022080117,3.08333333333333,2.91666666666667,3.375,4.625,3.2,4.4,3.44444444444444,4.33333333333333,3.27272727272727,3.54545454545455,3.08333333333333,3.08333333333333,3.2258064516129,3.7258064516129
1,2,1,3,3,2,2,2022080148,3.08333333333333,3,3,3,3.5,4.4,3.22222222222222,4.55555555555556,3.09090909090909,4.18181818181818,3.33333333333333,4.83333333333333,3.20967741935484,4.01612903225806
1,2,2,2.83,1,2,1,2022080115,3.58333333333333,4,3.625,4.125,4.1,4.8,3.55555555555556,4.44444444444444,3.54545454545455,4,3.75,4.08333333333333,3.69354838709677,4.2258064516129
1,2,1,3.08,3,2,2,2022080095,3.16666666666667,4.16666666666667,3.625,4.125,3.1,3.9,3.22222222222222,3,3.09090909090909,3.45454545454545,3.16666666666667,4.41666666666667,3.20967741935484,3.87096774193548
1,2,1,3.17,2,2,1,2022080112,4.08333333333333,4,4,4,4.3,5,4.11111111111111,4.66666666666667,4.09090909090909,5,4.08333333333333,4.58333333333333,4.11290322580645,4.54838709677419
1,2,1,3.19,3,2,2,2022080120,3.75,3.83333333333333,3.375,3.75,3.6,3.9,3.22222222222222,3.44444444444444,3.09090909090909,3,3.58333333333333,2.58333333333333,3.45161290322581,3.38709677419355
1,1,2,3.24,3,2,2,2022080099,3.5,3.41666666666667,3.75,3.75,3.4,4.4,3.88888888888889,4.44444444444444,3.36363636363636,4.18181818181818,3.83333333333333,5,3.61290322580645,4.20967741935484
1,2,1,3.5,3,2,2,2022080101,4.41666666666667,4.41666666666667,4.75,5,4.7,5,4.11111111111111,4.88888888888889,4.45454545454545,5,4.66666666666667,5,4.51612903225806,4.87096774193548
