"Subject","accuracy","correct_count","incorrect_count","Age"
1002,0.833333333333333,25,5,75
1003,0.766666666666667,23,7,74
1004,0.6,18,12,68
1006,0.766666666666667,23,7,71
1007,0.766666666666667,23,7,80
1008,0.8,24,6,57
1009,0.9,27,3,57
1010,0.633333333333333,19,11,80
1011,0.5,15,15,67
1012,0.666666666666667,20,10,73
2002,0.5,15,15,69
2003,0.866666666666667,26,4,78
2004,0.6,18,12,75
2005,0.866666666666667,26,4,62
2006,0.766666666666667,23,7,77
2007,0.466666666666667,14,16,74
3002,0.733333333333333,22,8,0
3003,0.833333333333333,25,5,82
3004,0.866666666666667,26,4,76
3005,0.666666666666667,20,10,76
3008,0.533333333333333,16,14,68
3009,0.7,21,9,76
3010,0.833333333333333,25,5,80
3011,0.366666666666667,11,19,76
3012,0.9,27,3,84
3013,0.933333333333333,28,2,78
4002,0.766666666666667,23,7,72
4003,0.766666666666667,23,7,70
4004,0.733333333333333,22,8,75
4005,0.9,27,3,71
4006,0.766666666666667,23,7,68
4008,0.266666666666667,8,22,74
4009,0.7,21,9,52
4010,0.7,21,9,56
4011,0.833333333333333,25,5,79
4013,0.766666666666667,23,7,73
4014,0.333333333333333,10,20,67
5002,0.733333333333333,22,8,66
5004,0.766666666666667,23,7,77
5005,0.633333333333333,19,11,77
5006,0.6,18,12,80
5007,0.866666666666667,26,4,66
5008,0.566666666666667,17,13,83
5009,0.633333333333333,19,11,79
5010,0.4,12,18,80
5011,0.733333333333333,22,8,60
5012,0.666666666666667,20,10,75
5013,0.466666666666667,14,16,78
5014,0.5,15,15,76
6001,0.7,21,9,74
6002,0.7,21,9,58
6003,0.766666666666667,23,7,80
6004,0.866666666666667,26,4,56
6005,0.7,21,9,60
6006,0.766666666666667,23,7,80
6007,0.7,21,9,72
6008,0.566666666666667,17,13,78
6009,0.766666666666667,23,7,78
6011,0.7,21,9,71
6012,0.833333333333333,25,5,71
6013,0.5,15,15,78
6014,0.466666666666667,14,16,72
6015,0.6,18,12,72
6016,0.633333333333333,19,11,70
6017,0.566666666666667,17,13,56
7001,0.633333333333333,19,11,74
7002,0.8,24,6,77
7003,0.766666666666667,23,7,69
7004,0.833333333333333,25,5,79
7006,0.633333333333333,19,11,82
7007,0.766666666666667,23,7,70
7008,0.733333333333333,22,8,77
7009,0.933333333333333,28,2,81
7010,0.6,18,12,75
7011,0.833333333333333,25,5,50
7012,0.566666666666667,17,13,79
7013,0.466666666666667,14,16,82
8001,0.9,27,3,72
8002,0.766666666666667,23,7,79
8003,0.666666666666667,20,10,75
