Subject,Age,Block,Group,Handedness,Image,Sex,ACC,Target.RT
1002,75,1,1,2,image/1.bmp,1,1,6295
1002,75,2,1,2,image/2.bmp,1,1,7453
1002,75,3,1,2,image/3.bmp,1,1,1997
1002,75,4,1,2,image/4.bmp,1,1,1901
1002,75,5,1,2,image/5.bmp,1,1,3996
1002,75,6,1,2,image/6.bmp,1,1,2693
1002,75,7,1,2,image/7.bmp,1,1,2376
1002,75,8,1,2,image/8.bmp,1,1,4249
1002,75,9,1,2,image/9.bmp,1,1,2856
1002,75,10,1,2,image/10.bmp,1,1,1685
1002,75,11,1,2,image/11.bmp,1,1,3134
1002,75,12,1,2,image/12.bmp,1,1,4838
1002,75,13,1,2,image/13.bmp,1,1,2941
1002,75,14,1,2,image/14.bmp,1,0,9415
1002,75,15,1,2,image/15.bmp,1,1,7987
1002,75,16,1,2,image/16.bmp,1,1,3408
1002,75,17,1,2,image/17.bmp,1,0,9959
1002,75,18,1,2,image/18.bmp,1,1,17434
1002,75,19,1,2,image/19.bmp,1,1,5854
1002,75,20,1,2,image/20.bmp,1,0,0
1002,75,21,1,2,image/21.bmp,1,1,5216
1002,75,22,1,2,image/22.bmp,1,0,0
1002,75,23,1,2,image/23.bmp,1,1,3958
1002,75,24,1,2,image/24.bmp,1,1,10360
1002,75,25,1,2,image/25.bmp,1,1,2949
1002,75,26,1,2,image/26.bmp,1,1,5521
1002,75,27,1,2,image/27.bmp,1,1,10528
1002,75,28,1,2,image/28.bmp,1,0,0
1002,75,29,1,2,image/29.bmp,1,1,7280
1002,75,30,1,2,image/30.bmp,1,1,2019
1003,74,1,1,2,image/1.bmp,2,1,4286
1003,74,2,1,2,image/2.bmp,2,1,4281
1003,74,3,1,2,image/3.bmp,2,1,1502
1003,74,4,1,2,image/4.bmp,2,1,1688
1003,74,5,1,2,image/5.bmp,2,1,5600
1003,74,6,1,2,image/6.bmp,2,1,1371
1003,74,7,1,2,image/7.bmp,2,1,2012
1003,74,8,1,2,image/8.bmp,2,1,4134
1003,74,9,1,2,image/9.bmp,2,1,17259
1003,74,10,1,2,image/10.bmp,2,1,1404
1003,74,11,1,2,image/11.bmp,2,1,3078
1003,74,12,1,2,image/12.bmp,2,1,8031
1003,74,13,1,2,image/13.bmp,2,1,1754
1003,74,14,1,2,image/14.bmp,2,0,0
1003,74,15,1,2,image/15.bmp,2,1,2665
1003,74,16,1,2,image/16.bmp,2,1,1678
1003,74,17,1,2,image/17.bmp,2,0,0
1003,74,18,1,2,image/18.bmp,2,0,0
1003,74,19,1,2,image/19.bmp,2,1,14707
1003,74,20,1,2,image/20.bmp,2,0,11508
1003,74,21,1,2,image/21.bmp,2,1,4535
1003,74,22,1,2,image/22.bmp,2,1,16629
1003,74,23,1,2,image/23.bmp,2,0,0
1003,74,24,1,2,image/24.bmp,2,1,6608
1003,74,25,1,2,image/25.bmp,2,1,3552
1003,74,26,1,2,image/26.bmp,2,0,13356
1003,74,27,1,2,image/27.bmp,2,1,5812
1003,74,28,1,2,image/28.bmp,2,0,0
1003,74,29,1,2,image/29.bmp,2,1,11770
1003,74,30,1,2,image/30.bmp,2,1,3614
1004,68,1,1,2,image/1.bmp,2,1,6511
1004,68,2,1,2,image/2.bmp,2,1,1919
1004,68,3,1,2,image/3.bmp,2,1,2394
1004,68,4,1,2,image/4.bmp,2,1,1523
1004,68,5,1,2,image/5.bmp,2,1,2733
1004,68,6,1,2,image/6.bmp,2,1,2195
1004,68,7,1,2,image/7.bmp,2,0,4700
1004,68,8,1,2,image/8.bmp,2,1,2260
1004,68,9,1,2,image/9.bmp,2,1,2916
1004,68,10,1,2,image/10.bmp,2,1,1372
1004,68,11,1,2,image/11.bmp,2,1,2389
1004,68,12,1,2,image/12.bmp,2,0,0
1004,68,13,1,2,image/13.bmp,2,0,4057
1004,68,14,1,2,image/14.bmp,2,0,5061
