id,gender,birth,nationality
1002,1,1948-04-19,1
1003,2,1950-10-08,1
1004,2,1955-12-08,1
1005,1,1946-10-15,1
1006,2,1953-01-06,1
1007,2,1944-10-25,4
1008,1,1967-05-10,1
1010,2,1949-12-29,1
1011,2,1957-10-07,1
1012,2,1946-05-05,1
1012,1,1950-02-14,1
2003,2,1946-10-11,1
2004,2,1949-10-27,1
2005,2,1962-11-28,1
2006,1,1948-08-05,1
2007,2,1950-03-16,1
3003,1,1942-09-25,8
3004,2,1948-11-10,1
3005,2,1947-12-25,1
3006,2,1964-04-27,1
3007,2,1951-11-17,1
3008,2,1956-07-06,1
3009,2,1947-12-07,1
3010,1,1944-01-18,1
3011,2,1949-11-11,3
3012,1,1940-09-17,1
3013,1,1946-03-15,1
4003,2,1953-02-06,1
4004,2,1949-12-03,1
4005,2,1952-01-29,1
4006,2,1956-04-04,1
4007,2,1951-03-26,1
4008,2,1950-09-29,1
4009,2,1971-01-05,1
4010,2,1968-09-05,1
4011,1,1945-01-25,1
4013,2,1951-01-07,1
4014,2,1957-04-24,1
5003,2,1945-04-24,1
5004,2,1974-06-20,1
5005,2,1947-06-24,1
5006,1,1943-01-01,1
5007,1,1958-02-08,1
5008,2,1944-01-11,1
5009,2,1955-01-01,1
5010,2,1944-02-17,1
5011,1,1963-06-28,1
5012,2,1950-04-20,1
5013,2,1947-05-04,1
5014,2,1948-05-25,1
6002,2,1966-04-11,1
6003,1,1943-03-01,1
6004,2,1968-02-19,1
6005,2,1963-02-28,1
6006,1,1943-06-06,1
6007,2,1952-01-04,1
6008,2,1946-08-07,1
6009,1,1946-04-14,1
6010,2,1952-08-15,1
6011,2,1952-10-21,1
6012,2,1951-01-09,1
6013,2,1945-02-18,1
6014,2,1952-10-17,1
6015,1,1952-03-09,1
6016,2,1954-09-08,1
6017,2,1968-10-18,1
7001,2,1950-03-01,1
7002,1,1947-04-15,1
7003,2,1956-02-18,1
7004,1,1944-03-20,1
7005,2,1952-02-27,1
7006,2,1942-11-26,1
7007,2,1954-01-23,1
7008,2,1947-06-07,1
7009,1,1943-06-10,1
7010,2,1949-08-02,1
7010,2,1945-01-08,1
7011,2,1967-12-04,1
7012,2,1944-10-14,1
7013,2,1942-09-04,1
8001,2,1952-09-08,1
8002,1,1944-05-02,1
8003,1,1949-04-01,1
9001,2,1959-02-28,5
9002,2,1960-03-16,5
9005,1,1961-06-08,5
9006,1,1972-02-19,1
9007,2,1970-12-19,5
9008,1,1967-02-16,5
9009,2,1970-04-27,3
9010,2,1966-02-19,3
9011,2,1965-03-01,3
9017,1,1950-10-01,1
9018,2,1957-02-19,1
9019,2,1970-04-19,2
9020,2,1968-02-06,5
9022,2,1952-11-20,5
9023,1,1947-06-24,5
9025,2,1971-12-02,7
9026,1,1960-02-05,1
9026,2,1969-04-24,5
9027,1,1963-03-24,1
9028,2,1961-02-24,5
9029,1,1971-07-24,5
9030,2,1966-02-03,1
